title,time_per_workout,week,day,number_of_exercises,exercise_name,sets,reps_display
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,1,6,Incline Bench Press (Barbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,1,6,Pec Deck (Machine),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,1,6,Dip (Bodyweight),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,1,6,Push Up,2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,1,6,Lateral Raise (Dumbbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,1,6,Bicep Curl (Cable),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,2,4,Leg Press,2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,2,4,Bulgarian Split Squat (Dumbbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,2,4,Hamstring Curl,3,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,2,4,Hip Adductor (Machine),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,3,6,Chest Supported Row (Machine),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,3,6,Single Arm Row (Cable),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,3,6,Lat Pulldown,2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,3,6,Shrug (Barbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,3,6,Hammer Curl (Dumbbell),3,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,3,6,Lateral Raise (Dumbbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,4,6,Seated Shoulder Press (Dumbbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,4,6,Tempo Bench Press,2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,4,6,Overhead Tricep Extension (Cable),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,4,6,Lateral Raise (Dumbbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,4,6,Front Raise,1,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,4,6,Bicep Curl (Cable),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,5,4,Squat (Barbell),2,6
"6.0 weeks for ['Bodybuilding', 'Powerbuilding', 'Muscle & Sculpting']",100,1,5,4,Single Leg Press,2,6
